fixed acidity,citric acid,residual sugar,sulfur dioxide,density,pH,alcohol,quality
6.8,0.26,16.1,196,0.9984,3.15,9.3,5
7.1,0.24,13.1,204,0.998,3.1,8.8,5
6.9,0.32,13.2,236,0.9973,3.2,9.6,5
6.8,0.34,13.9,134,0.9949,3.33,12,6
5.8,0.35,2.3,114,0.9924,3.28,10.2,4
6.4,0.5,11.6,153,0.9972,3.15,8.8,5
7,0.32,8.3,126,0.9958,3.21,9.2,5
6.8,0.29,2.2,77,0.9938,3.32,10.2,5
6.1,0.31,0.9,170,0.993,3.22,9.5,6
5.6,0.25,9.7,68,0.994,3.31,10.5,5
6.8,0.38,1.4,111,0.9918,3.32,11.2,7
7,0.32,8.3,126,0.9958,3.21,9.2,5
6.7,0.29,5.3,122,0.9944,3.44,9.7,6
6.2,0.25,1.4,105,0.9912,3.3,11.1,7
5.8,0.24,9.2,152,0.9961,3.31,9.4,5
7.5,0.36,7,164,0.9939,3.03,11,5
5.8,0.24,9.2,152,0.9961,3.31,9.4,5
5.7,0.24,17.5,167,0.9989,3.31,9.4,5
7.5,0.36,7,161,0.9938,3.04,11,5
7.5,0.36,7,164,0.9939,3.03,11,5
6.2,0.25,1.4,105,0.9912,3.3,11.1,7
6.5,0.3,0.8,144,0.9936,3.42,9.1,6
6.3,0.22,1.8,140,0.9929,3.39,10.4,6
7.1,0.41,17.8,145,0.9998,3.32,8.7,5
6.4,0.32,2.4,200,0.9938,3.5,9.7,6
6.4,0.32,2.4,200,0.9938,3.5,9.7,6
7.1,0.41,17.8,145,0.9998,3.32,8.7,5
8.3,0.4,7.8,194,0.9976,3.34,9.6,6
8.2,0.39,7.8,208,0.9976,3.31,9.5,6
7.2,0.38,14.3,194,0.9979,3.09,9,6
7.2,0.38,14.3,194,0.9979,3.09,9,6
7.2,0.38,14.3,194,0.9979,3.09,9,6
7.2,0.38,14.3,194,0.9979,3.09,9,6
6.8,0.32,13.2,221,0.9972,3.27,9.6,6
7,0.59,1.4,120,0.9918,3.34,11.1,7
6.2,0.21,15.55,159,0.9982,3.48,9.6,6
7.3,0.23,13.7,197,0.9985,3.2,8.7,5
7.7,0.26,7.8,90,0.9944,3.13,10.4,5
7.1,0.37,2.4,100,0.9903,3.15,11.4,7
6.8,0.34,2.7,218.5,0.9934,3.3,9.7,6
6.9,0.56,11.2,142,0.9975,3.14,8.7,5
6.1,0.36,2,249.5,0.9923,3.37,11.3,6
6.8,0.27,2.1,139,0.99,3.16,12.6,7
5.8,0.27,1.4,77,0.9905,3.25,10.9,7
5.6,0.26,1.4,76,0.9905,3.25,10.9,7
6.1,0.14,10.4,119,0.996,3.38,10,5
8.5,0.21,16.2,197,0.998,3.02,9.8,3
6.9,0.56,11.2,142,0.9975,3.14,8.7,5
5.8,0.44,3.5,109,0.9913,3.53,11.7,3
5.8,0.39,1.5,158,0.9932,3.21,9.3,6
6.7,0.39,1.1,147,0.9935,3.32,9.6,8
6.3,0.3,5.7,97,0.9927,3.27,11,7
6.3,0.3,5.7,97,0.9927,3.27,11,7
6.4,0.39,1.8,118,0.9912,3.32,11.8,6
5.8,0.38,0.9,75,0.9904,3.28,11.4,4
6.9,0.35,5.4,108,0.9939,3.32,10.2,6
6.9,0.4,19.45,156,0.9996,2.93,8.9,5
6.9,0.4,8.2,95,0.9944,3.17,10.2,5
7.2,0.4,13.6,231,0.9977,3.08,9.6,6
6.2,0.35,1.2,167,0.9912,3.1,10.6,6
6.9,0.4,19.45,156,0.9996,2.93,8.9,5
6.9,0.26,8.3,180,0.9965,3.25,9.2,6
6.9,0.26,8.3,180,0.9965,3.25,9.2,6
5.8,0.26,13.1,148,0.9972,3.29,9.3,5
7,0.54,10.7,234,0.9966,3.05,9.5,5
6.6,0.41,8.9,169,0.9954,3.14,9.8,6
6.7,0.41,9.1,166,0.9954,3.14,9.8,6
7.7,0.4,1.1,60,0.9915,2.89,10.6,5
6.8,0.34,1.2,67,0.9919,3.05,10.6,4
7,0.49,4.7,105,0.9916,3.26,12.4,7
7,0.36,2.8,112,0.99,3.19,12.6,8
6.1,0.58,5,114,0.9909,3.3,12.3,8
6.8,0.37,5.1,201,0.9938,3.08,10.5,4
6.7,0.3,15.6,196,0.9982,3.19,9.3,5
7.1,0.24,15.4,198,0.9988,3.12,8.8,5
7.3,0.25,7.2,180,0.9961,3.08,8.8,5
6.5,0.33,15.7,190,0.9978,3.22,9.7,6
7.2,0.39,14.2,192,0.9979,2.98,9,7
7.2,0.39,14.2,192,0.9979,2.98,9,7
7.2,0.39,14.2,192,0.9979,2.98,9,7
7.2,0.39,14.2,192,0.9979,2.98,9,7
5.9,0.31,5.8,155,0.9945,3.52,10.5,6
7.4,0.42,19.8,195,1,2.96,9.1,5
6.2,0.22,7.3,157,0.9957,3.44,9.8,7
6.3,0.27,1.2,175,0.9934,3.37,9.4,6
7.2,0.46,3.8,187,0.9932,3.19,11.2,7
7.5,0.44,11.3,146,0.997,3.17,10,6
6.7,0.5,2.1,122,0.9923,3.15,10.3,6
6.1,0,1.6,87,0.9914,3.27,10.8,6
8.3,0.35,0.9,74,0.992,3.13,10.5,6
6.1,0,1.6,87,0.9914,3.27,10.8,6
6,0.21,1.3,168,0.9914,3.32,11.1,6
7.3,0.24,6.8,163,0.9949,3.2,9.9,6
7.3,0.24,6.8,163,0.9949,3.2,9.9,6
7.2,0.24,6.7,163,0.995,3.2,9.9,5
7.3,0.24,6.7,166,0.995,3.2,9.9,6
6.2,0.27,4.9,134,0.9927,3.2,10.4,7
6.2,0.26,4.8,148,0.9928,3.21,10.4,6
6.1,0.27,2.1,100,0.9917,3.4,11.5,7
5,0.14,8.3,164,0.9918,3.53,12.5,8
7.8,0.41,3.7,149,0.9954,3.36,10,6
5.7,0.21,6.7,166,0.9941,3.29,10,6
5.8,0.21,6.6,167,0.9941,3.29,10,5
6.8,0.34,4.7,134,0.9927,3.21,10.6,6
6.6,0.35,7.7,135,0.9938,3.19,10.5,5
5.9,0.47,7.85,133,0.9933,3.52,11.5,7
6.1,0.25,3.3,69,0.9934,3.54,10.1,6
6,0.24,1.1,65,0.9927,3.61,10.3,7
6.6,0.35,7.7,135,0.9938,3.19,10.5,5
6.8,0.34,4.7,134,0.9927,3.21,10.6,6
6.8,0.44,9.3,137,0.9946,3.16,10.4,6
8.3,0.51,2,207,0.993,3.02,11.4,5
7.9,0.41,15.15,216,0.9976,2.96,10,6
6.4,0.23,6.3,143,0.9944,3.19,10,6
6.5,0.35,15.4,195,0.9978,3.23,9.6,6
7.2,0.41,1.3,85,0.992,3.17,10.4,5
6.4,0.35,4.8,101,0.9912,3.36,12.5,8
6.8,0.34,4.6,135,0.9927,3.2,10.6,5
6.3,0.3,1.8,91,0.9906,3.28,11.8,6
6.5,0.34,9.9,133,0.9954,3.11,9.8,5
5.6,0.26,5.7,80,0.9923,3.25,10.8,5
6.3,0.3,1.8,91,0.9906,3.28,11.8,6
6.3,0.33,1.5,105,0.991,3.32,11.2,6
5.8,0.27,12.3,170,0.9972,3.28,9.3,6
5.9,0.4,1.3,139,0.9945,3.45,10.4,5
7.4,0.43,7.8,153,0.9964,3.19,9,7
8,0.36,1.5,129,0.9948,3.2,10,6
6.4,0.42,9.7,140,0.9962,3.18,9.1,6
5.4,0.47,3,144,0.9931,3.29,10,5
5.4,0.47,3,145,0.993,3.29,10,6
7.1,0.33,4.6,131,0.9942,3.28,9.6,6
5.6,0.1,1.3,68,0.9906,3.36,11.2,7
6.7,0.41,15.6,155,0.9995,3.2,8.8,6
7.8,0.46,13.6,118,0.998,3.15,10,6
7.6,0.45,11.2,137,0.997,3.15,10,5
6.3,0.36,2.1,146,0.9914,3.27,11.4,7
7.3,0.4,6.85,138,0.992,3.03,11.9,7
5.5,0.3,2.5,128,0.9924,3.14,9.6,6
7.3,0.4,6.85,138,0.992,3.03,11.9,7
5.8,0.42,4.4,245,0.9937,3.25,9.6,6
7.3,0.37,14.3,191,0.9978,2.89,9,6
7.3,0.37,14.3,191,0.9978,2.89,9,6
6.1,0.33,1.1,169,0.9927,3.15,9.5,6
6.9,0.34,4.7,161,0.9935,3.2,10.6,6
6.4,0.32,14.9,162,0.9968,3.28,10.2,6
7.1,0.14,1.2,84,0.9941,3.15,8.9,5
6.8,0.3,5.3,127,0.9942,3.4,9.7,6
7.3,0.37,14.3,191,0.9978,2.89,9,6
6.8,0.4,2.3,102,0.9923,3.49,11.4,7
6,0.32,3.5,113,0.9912,3.4,12.3,7
6,0.27,1.5,143,0.9923,3.49,10.8,6
6.9,0.21,1,148,0.9927,3.12,9.4,6
7.7,0.48,2.3,178,0.9931,3.17,10.6,6
7.1,0.35,12.5,72,0.9941,3.17,11.6,5
6.9,0.21,1,148,0.9927,3.12,9.4,6
7.7,0.48,2.3,178,0.9931,3.17,10.6,6
7.2,0.27,2.4,149,0.9936,3.1,9.2,6
5.1,0.22,1.6,89,0.9893,3.51,12.5,7
5.1,0.22,1.6,89,0.9893,3.51,12.5,7
6.4,0.28,1.5,119,0.9919,3.32,10.4,7
7.3,0.44,1.4,98,0.9924,3.15,10,7
5.7,0.5,2.6,155,0.9927,3.22,10,6
6.4,0.28,1.5,119,0.9919,3.32,10.4,7
7.3,0.44,1.4,98,0.9924,3.15,10,7
7.2,0.26,12.5,179,0.9975,3.1,9,6
7.5,0.28,9.6,157,0.9969,3.12,9.2,6
7.2,0.27,2.4,149,0.9936,3.1,9.2,6
6,0.39,3.2,125,0.991,3.38,11.3,7
5.1,0.22,1.6,89,0.9893,3.51,12.5,7
5,0.56,1.5,115,0.9906,3.48,10.8,7
6.3,0.35,5.9,260,0.9941,3.12,10.1,5
6.7,0.32,5.4,140,0.995,3.39,9.7,6
7,0.38,14.9,181,0.9983,3.18,9.3,7
7,0.38,14.9,181,0.9983,3.18,9.3,7
6.5,0.32,1.1,66,0.9916,3.1,10.6,5
6.1,0.15,9.8,125,0.9957,3.36,10.2,6
7.3,0.43,2,69,0.99,3.08,12.2,6
6.8,0.51,11.8,163,0.9976,3.19,8.8,5
8.2,0.42,1.8,93,0.9917,3.09,11.4,5
6.3,0.4,1.5,107,0.9917,3.46,11.4,6
5.9,0.27,18.2,168,0.9993,3.35,9.4,5
6.4,0.42,2.9,83,0.9908,3.3,11.7,6
6.3,0.4,1.5,107,0.9917,3.46,11.4,6
6.8,0.51,11.8,163,0.9976,3.19,8.8,5
6.1,0.07,1.4,108,0.9934,3.23,9.2,5
7.1,0.31,18.2,252,1,3.07,8.7,5
6.8,0.31,6.3,170,0.9918,3.24,12.6,6
5.8,0.34,4,99,0.9896,3.39,12.8,7
6.9,0.24,1.2,125,0.9932,3.17,9.4,5
6.3,0.39,1.2,116,0.992,3.26,10.3,6
8.2,0.42,1.8,93,0.9917,3.09,11.4,5
7.2,0.39,18.95,155,0.9999,2.97,9,6
7.3,0.36,12.7,140,0.998,3.3,9.6,6
7.2,0.39,1.2,85,0.9918,3.16,10.5,5
7.2,0.39,1.2,85,0.9918,3.16,10.5,5
7.2,0.39,18.95,155,0.9999,2.97,9,6
7.3,0.36,12.7,140,0.998,3.3,9.6,6
7.4,0.27,1.2,99,0.9927,3.19,9.8,6
6.8,0.22,7.7,210,0.9959,3.1,9,5
7.4,0.27,1.2,99,0.9927,3.19,9.8,6
7.4,0.28,1.6,137,0.9929,3.31,10.5,6
7,0.31,2.7,136,0.9898,3.16,12.7,7
7,0.28,8.7,222,0.9954,3.25,10.4,6
7,0.28,8.6,221,0.9954,3.25,10.4,6
7,0.28,8.6,221,0.9954,3.25,10.4,6
6.9,0.38,8.3,162,0.9954,3.34,10.5,7
7,0.28,8.7,222,0.9954,3.25,10.4,6
7,0.28,8.6,221,0.9954,3.25,10.4,6
6.8,0.5,13.3,194,0.9974,3.09,9.4,5
7.8,0.27,1.2,89,0.9936,3.06,9.1,5
7.1,0.47,13.6,197,0.9978,3.1,9.3,5
6.8,0.5,13.3,194,0.9974,3.09,9.4,5
6.4,0.1,1.1,84,0.9927,3.21,9.8,5
7.4,0.34,2.3,214,0.9934,3.18,9.9,7
7,0.36,7.1,104,0.9922,3.35,12.1,8
6.9,0.37,6.2,97,0.992,3.38,12.2,7
6.1,0.32,2.5,218.5,0.9935,3.27,9.8,5
6.6,0.32,1.4,186,0.9906,3.35,12.4,8
7.4,0.34,2.3,214,0.9934,3.18,9.9,7
6.2,0.04,1.2,108,0.9934,3.26,9.2,5
6.7,0.37,1.6,102,0.9913,3.29,11.6,7
6.1,0.2,6.6,137,0.9938,3.3,10.4,6
6,0.28,2.2,126,0.9898,3.43,12.9,8
6.6,0.44,12.2,245,0.9975,3.26,9.3,6
6.9,0.36,20.8,139,0.9975,3.2,11,6
7.1,0.32,11,66,0.9937,3.24,11.5,3
5.8,0.27,2.6,156,0.9914,3.53,12.4,5
6.5,0.24,14,113,0.9982,3.44,9.8,6
6.5,0.24,14,113,0.9982,3.44,9.8,6
6.4,0.29,1.6,127,0.9929,3.48,10.5,7
6.1,0.25,1.2,128,0.9921,3.24,10.1,5
5.9,0.14,2.7,160,0.9931,3.46,10.6,7
6,0.27,1.6,113,0.9924,3.41,10.5,7
6.4,0.29,1.6,127,0.9929,3.48,10.5,7
6.4,0.24,14,113,0.9982,3.44,9.8,6
6.3,0.31,1.5,82,0.9892,3.3,12.9,7
7.1,0.27,8.6,111,0.9956,2.95,9.5,5
6,0.32,1,218.5,0.9924,3.29,9.8,6
6.1,0.35,9.1,249,0.9971,3.37,8.5,5
7.1,0.27,8.6,111,0.9956,2.95,9.5,5
7,0.29,15.2,171,0.9982,3.22,9.3,5
5.9,0.19,12.4,162,0.9973,3.35,9.5,5
6.8,0.21,2.2,68,0.9932,3.17,9.4,6
7.2,0.62,11,178,0.9976,3.16,8.7,5
6.3,0.58,10,126,0.9962,2.95,8.9,5
7,0.32,9,141,0.9956,3.22,9.4,6
6.8,0.21,2.2,68,0.9932,3.17,9.4,6
7.2,0.62,11,178,0.9976,3.16,8.7,5
7.2,0.53,18.15,182,0.9992,3.09,9.6,5
6.5,0.34,3.4,200,0.9937,3.14,10,5
6.6,0.29,2,86,0.99,3.25,12.5,6
7,0.31,4.8,132,0.9944,3.36,9.6,7
5.5,0.22,4.5,102,0.9938,3.24,9.4,6
7,0.51,11,227,0.9965,3.03,9.5,5
7.4,0.36,1.1,105,0.9893,2.99,12.4,7
7,0.28,1.5,115,0.9927,3.11,10.5,6
7.1,0.13,1.7,165,0.994,2.97,9.2,6
6.3,0.33,1.7,164,0.9928,3.32,10.4,6
6.7,0.34,8.9,172,0.9964,3.22,9.2,5
5.9,0.41,1.3,104,0.9917,3.33,10.6,6
5.8,0.24,13.3,137,0.9972,3.34,9.5,5
6.7,0.34,8.9,172,0.9964,3.22,9.2,5
6.2,0.38,1.5,117,0.993,3.47,9.7,6
6,0.37,1.5,117,0.9928,3.46,9.7,6
6.6,0.28,1.3,90,0.9916,3.1,10.7,6
7.4,0.29,1.6,180,0.9936,3.34,10.5,6
7.4,0.31,7.6,177,0.9962,3.13,8.9,6
7,0.36,1,70,0.9899,3.09,12.1,6
7.1,0.39,1.6,65,0.9898,3.25,12.7,7
7.8,0.26,8.9,182,0.996,3.18,9.9,6
6.3,0.28,1.8,158,0.9907,3.2,11.4,6
6.8,0.38,4.7,103,0.994,3.37,10.7,6
5.7,0.13,7,173,0.9913,3.33,12.5,6
7.2,0.62,10.8,189,0.9976,3.08,8.6,4
6.8,0.32,1.6,147,0.9904,3.29,12.5,6
5.7,0.34,1,174,0.992,3.27,10,5
7.2,0.62,10.8,189,0.9976,3.08,8.6,4
7.2,0.54,16.7,200,0.999,3.08,9.5,6
6.8,0.58,14.2,164,0.9975,3.12,9.6,6
6.4,0.3,2.25,210,0.9937,3.2,9.9,6
6.5,0.29,2.25,210,0.9937,3.19,9.9,5
7.8,0.31,12.2,140,0.998,3.06,8.9,6
7.8,0.31,12.2,140,0.998,3.06,8.9,6
7.3,0.26,3.3,135,0.9944,3.01,8.8,5
6,0.27,1.9,170,0.9938,3.64,10,7
6,0.27,1.9,170,0.9938,3.64,10,7
6.7,0.12,1.3,138,0.9921,3.21,10,6
7.8,0.35,1.8,167,0.9908,3.11,12.1,6
7.3,0.36,5.2,141,0.9931,3.16,11,6
7.4,0.33,1.4,55,0.9915,3.21,11.2,6
7.8,0.32,9,115,0.9952,3.17,10.3,7
6.1,0.26,2.2,167,0.9926,3.37,10.4,6
6.8,0.37,1.6,154,0.9934,3.08,9.1,5
7.4,0.42,1.7,154,0.992,3,10.4,6
5.9,0.28,1.9,78,0.9918,3.43,10.8,6
7.2,0.34,12.6,41,0.9942,3.19,11.7,5
7.9,0.26,2.1,143,0.9942,3.05,9.8,5
7.9,0.26,2.1,143,0.9942,3.05,9.8,5
6.9,0.4,1.3,101,0.9901,3.03,11.4,6
5.8,0.32,1.7,96,0.9898,3.03,11.2,6
5.6,0.37,1,72,0.9902,3.37,11.4,5
7.2,0.46,5,29,0.9906,3.04,12.5,4
6.1,0.22,1.8,116,0.9898,3.36,12.6,6
5.2,0.02,1.6,104,0.9896,3.44,12.2,6
5.6,0.47,4.5,112,0.9922,3.56,11.2,6
6.4,0.35,4.9,103,0.9947,3.43,9.7,6
7.4,0.36,13.2,178,0.9976,3.01,9,6
7.4,0.36,13.2,178,0.9976,3.01,9,6
7.4,0.36,13.2,178,0.9976,3.01,9,6
7.9,0.51,15.3,171,0.9987,3.09,9.1,5
7.9,0.51,15.3,171,0.9987,3.09,9.1,5
